date,^TNX_70rsi,^TNX_14rsi,^TNX,^TNX_ao,^TNX_ah,^TNX_al,^TNX_vol,^TNX_100ema,^TNX_25ema,^TNX_5ema
1998-01-02,,,,,,,0,,,
1998-01-05,,,,,,,0,,,
1998-01-06,,,,,,,0,,,
1998-01-07,,,,,,,0,,,
1998-01-08,,,,,,,0,,,
1998-01-09,,,,,,,0,,,
1998-01-12,,,,,,,0,,,
1998-01-13,,,,,,,0,,,
1998-01-14,,,,,,,0,,,
1998-01-15,,,,,,,0,,,
1998-01-16,,,,,,,0,,,
1998-01-20,,,,,,,0,,,
1998-01-21,,,,,,,0,,,
1998-01-22,,,,,,,0,,,
1998-01-23,,,,,,,0,,,
1998-01-26,,,,,,,0,,,
1998-01-27,,,,,,,0,,,
1998-01-28,,,,,,,0,,,
1998-01-29,,,,,,,0,,,
1998-01-30,,,,,,,0,,,
1998-02-02,,,,,,,0,,,
1998-02-03,,,,,,,0,,,
1998-02-04,,,,,,,0,,,
1998-02-05,,,,,,,0,,,
1998-02-06,,,,,,,0,,,
1998-02-09,,,,,,,0,,,
1998-02-10,,,,,,,0,,,
1998-02-11,,,,,,,0,,,
1998-02-12,,,,,,,0,,,
1998-02-13,,,,,,,0,,,
1998-02-17,,,,,,,0,,,
1998-02-18,,,,,,,0,,,
1998-02-19,,,,,,,0,,,
1998-02-20,,,,,,,0,,,
1998-02-23,,,,,,,0,,,
1998-02-24,,,,,,,0,,,
1998-02-25,,,,,,,0,,,
1998-02-26,,,,,,,0,,,
1998-02-27,,,,,,,0,,,
1998-03-02,,,,,,,0,,,
1998-03-03,,,,,,,0,,,
1998-03-04,,,,,,,0,,,
1998-03-05,,,,,,,0,,,
1998-03-06,,,,,,,0,,,
1998-03-09,,,,,,,0,,,
1998-03-10,,,,,,,0,,,
1998-03-11,,,,,,,0,,,
1998-03-12,,,,,,,0,,,
1998-03-13,,,,,,,0,,,
1998-03-16,,,,,,,0,,,
1998-03-17,,,,,,,0,,,
1998-03-18,,,,,,,0,,,
1998-03-19,,,,,,,0,,,
1998-03-20,,,,,,,0,,,
1998-03-23,,,,,,,0,,,
1998-03-24,,,,,,,0,,,
1998-03-25,,,,,,,0,,,
1998-03-26,,,,,,,0,,,
1998-03-27,,,,,,,0,,,
1998-03-30,,,,,,,0,,,
1998-03-31,,,,,,,0,,,
1998-04-01,,,,,,,0,,,
1998-04-02,,,,,,,0,,,
1998-04-03,,,,,,,0,,,
1998-04-06,,,,,,,0,,,
1998-04-07,,,,,,,0,,,
1998-04-08,,,,,,,0,,,
1998-04-09,,,,,,,0,,,
1998-04-13,,,,,,,0,,,
1998-04-14,,,,,,,0,,,
1998-04-15,,,,,,,0,,,
1998-04-16,,,,,,,0,,,
1998-04-17,,,,,,,0,,,
1998-04-20,,,,,,,0,,,
1998-04-21,,,,,,,0,,,
1998-04-22,,,,,,,0,,,
1998-04-23,,,,,,,0,,,
1998-04-24,,,,,,,0,,,
1998-04-27,,,,,,,0,,,
1998-04-28,,,,,,,0,,,
1998-04-29,,,,,,,0,,,
1998-04-30,,,,,,,0,,,
1998-05-01,,,,,,,0,,,
1998-05-04,,,,,,,0,,,
1998-05-05,,,,,,,0,,,
1998-05-06,,,,,,,0,,,
1998-05-07,,,,,,,0,,,
1998-05-08,,,,,,,0,,,
1998-05-11,,,,,,,0,,,
1998-05-12,,,,,,,0,,,
1998-05-13,,,,,,,0,,,
1998-05-14,,,,,,,0,,,
1998-05-15,,,,,,,0,,,
1998-05-18,,,,,,,0,,,
